Model,GDT_TS,GDT_HA,Z_GDT_TS,Z_GDT_HA,LLG_Original_deltaLLG,LLG_B_from_rms_deltaLLG,LLG_const_B_deltaLLG,Z_LLG_Original_deltaLLG,Z_LLG_B_from_rms_deltaLLG,Z_LLG_const_B_deltaLLG
R1049TS349_1,71.83,51.49,0.5676142576346119,0.5217327135591058,10.724624151319023,12.382822041334324,11.315689330662371,0.09084452611806171,0.0628271553480699,0.10378060620713456
R1049TS349_2,66.79,46.83,0.0,0.0,3.79625805425583,3.79020780893919,4.1771205165842655,-0.09287348904251987,-0.10317999423336195,-0.08934366028017852
R1049TS349_3,60.26,38.43,0.0,0.0,3.0776104170459604,3.8544295558458845,3.6646776823837115,-0.11192971610361634,-0.10193924620758345,-0.10320710392682247
R1049TS349_4,62.13,40.48,0.0,0.0,0.0,0.0,0.0,-0.19353805915824812,-0.17640585747660142,-0.20234997244229255
R1049TS349_5,59.89,41.05,0.0,0.0,0.0,0.0,0.1077193641468428,-0.19353805915824812,-0.17640585747660142,-0.19943577160888287
R1049TS352_1,33.77,21.27,0.0,0.0,0.0,0.3474790566306485,0.0,-0.19353805915824812,-0.16969264934571343,-0.20234997244229255
R1049TS352_2,36.19,20.52,0.0,0.0,0.0,1.4653604109662712,0.8663832633575037,-0.19353805915824812,-0.14809546225172712,-0.17891115205818023
R1049TS352_3,35.26,21.82,0.0,0.0,2.9752768242202166,0.0,0.07161381631348451,-0.11464327429248945,-0.17640585747660142,-0.20041255808009942
R1049TS352_4,47.02,26.49,0.0,0.0,0.0,5.8138779069850255,1.5796424438632055,-0.19353805915824812,-0.06408319603157374,-0.1596148953941202
R1049TS352_5,31.34,19.21,0.0,0.0,0.0,0.0,0.0,-0.19353805915824812,-0.17640585747660142,-0.20234997244229255
R1049TS360_1,70.34,49.63,0.2723347005562404,0.18600071603450524,1.4011453429580598,3.5322956131040293,1.896040530809925,-0.15638418510576976,-0.10816279310165801,-0.15105517564482399
R1049TS360_2,69.96,49.26,0.1970285047912844,0.1192153186774602,7.271634414945382,11.466861079235999,7.686811246818335,-0.0007176707764305906,0.04513101953499684,0.0056062471210168085
R1049TS360_3,70.34,49.81,0.2723347005562404,0.2184909093433375,16.30679496134014,19.802029653512392,16.932133253356454,0.23886576621089192,0.20616438363967804,0.25572585476988857
R1049TS360_4,72.2,52.42,0.6409387114057523,0.6895987123214061,13.840223079329533,16.95641859905666,14.34379518588875,0.17346020246535415,0.1511878925286681,0.185701890062133
R1049TS360_5,70.34,49.63,0.2723347005562404,0.18600071603450524,0.0,11.043209440640597,8.931479756795026,-0.19353805915824812,0.03694617624556154,0.03927906015534043
R1049TS389_1,64.92,44.22,0.0,0.0,17.7706902984415,0.0,16.070445220888438,0.2776835685566849,-0.17640585747660142,0.23241405746913332
R1049TS389_2,67.54,46.27,0.0,0.0,21.53971020742809,0.0,16.750860038917466,0.37762587054809427,-0.17640585747660142,0.2508217545946144
R1049TS389_3,68.66,47.39,0.0,0.0,24.272481497719653,0.0,21.893712733899598,0.45009018757559677,-0.17640585747660142,0.3899546368625556
R1049TS389_4,69.78,49.07,0.16135714890262334,0.08492011462924873,24.070885252755552,0.0,2.3034270021017527,0.44474450268109755,-0.17640585747660142,-0.14003388895638721
R1049TS389_5,67.16,46.27,0.0,0.0,12.927188637843372,0.0,10.256556872753292,0.14924946172026132,-0.17640585747660142,0.07512721862008621
R1049TS394_1,72.02,51.68,0.6052673555170884,0.5560279176073173,7.540192882378124,31.888287637753848,7.92699561157505,0.006403637177002317,0.4396678533410607,0.01210410831328888
R1049TS394_2,61.19,39.92,0.0,0.0,3.6679311238936663,2.009677743046298,4.2118762800892835,-0.09627630705292788,-0.13757938806027728,-0.08840339038744094
R1049TS394_3,70.52,50.56,0.30800605644490137,0.35386671479680554,14.930697885364296,31.544734815124713,9.14941362075123,0.20237609174439314,0.4330304990653037,0.04517496432261339
R1049TS394_4,72.58,53.92,0.7162449071707054,0.960350323228342,8.728791361460551,40.54952005456838,8.852060292079925,0.03792145109455373,0.6070006890171821,0.03713047459605143
R1049TS394_5,63.62,42.35,0.0,0.0,2.650667268932537,6.076336928688791,3.2695978813263444,-0.12325087706118415,-0.05901255362908938,-0.11389545039659187
R1049TS403_1,70.15,50.93,0.23468160267376376,0.4206521121538493,5.735032075338111,7.965772934156149,6.2815899357684355,-0.04146342929566012,-0.022509124393126557,-0.03241010349728277
R1049TS403_2,70.34,51.3,0.2723347005562404,0.487437509510893,9.482970749625178,12.411744601664433,11.38147233842764,0.05791986606390104,0.0633859319519231,0.10556027597748718
R1049TS403_3,54.1,34.33,0.0,0.0,0.0,5.436533829008141,0.0,-0.19353805915824812,-0.07137338887651834,-0.20234997244229255
R1049TS403_4,52.05,30.97,0.0,0.0,0.9729471452397576,1.7142739371029467,0.0,-0.16773862594767194,-0.14328651542266707,-0.20234997244229255
R1049TS403_5,47.2,28.18,0.0,0.0,3.98752097766244,0.0,4.757975686019645,-0.08780181064536252,-0.17640585747660142,-0.0736294139859711
R1049TS423_1,72.76,52.43,0.7519162630593693,0.6914037230607853,9.118682356357183,13.111823026447412,9.573961829170086,0.04826010795937447,0.07691127134671707,0.05666053845866419
R1049TS434_1,67.54,47.2,0.0,0.0,6.413030192778548,7.3608937196331965,6.949899072373309,-0.02348509693363803,-0.03419523894781441,-0.014329909111672746
R1049TS470_1,72.39,52.8,0.6785918092882289,0.7581891204178292,10.250012609882631,14.611126148396606,10.579664867469633,0.0782593524792209,0.10587743122562389,0.08386846579455064
R1049TS473_1,72.95,52.43,0.7895693609418458,0.6914037230607853,10.67472889733525,13.615075654137433,11.223256684285017,0.08952146424468328,0.08663398575966225,0.10127996672378274
R1049TS473_2,73.69,52.8,0.9362182684841238,0.7581891204178292,9.93846798234388,11.058802573745224,8.055475416640629,0.06999818963021621,0.03724743166210098,0.015579954628980285
R1049TS473_3,72.95,53.36,0.7895693609418458,0.8592697218230856,10.071241710928533,16.016202776656456,10.564636115976183,0.07351892244648323,0.13302315890434563,0.08346188337110062
R1049TS473_4,73.69,53.35,0.9362182684841238,0.8574647110837064,14.153745551468624,15.516008706978065,14.695809520471895,0.1817738114003739,0.12335953506425845,0.19522515893156242
